cosine similarity,target word
0.47891335516631645,other
0.4788616135595191,back
0.4788066858255403,other
0.4787708393794544,other
0.4786286975967635,solid
0.47861787074075923,back
0.47833168439205037,back
0.47828723443352156,high
0.4782227228721898,more
0.47806057980603556,able
0.4778085247991561,more
0.47777284439822126,competitive
0.4777309840484725,steady
0.47764004788473974,back
0.4775033769448745,other
0.4774168705593009,able
0.4772011786186412,young
0.47698553843596836,great
0.4769604653186984,strong
0.4767975067321242,other
0.47666133878338546,other
0.4766589070379709,back
0.476611764629047,good
0.476558659563267,other
0.4765528462789323,back
0.4765391601957066,early
0.47635200428549895,tough
0.4761982067303308,american
0.476169891872185,early
0.4760634216514401,most
0.4760579523739319,happy
0.47600159933953884,able
0.47588045177309246,other
0.4756150433796719,next
0.4755945855933333,other
0.4753455166482903,many
0.47528068800490997,favorite
0.4750365540178436,hard
0.47501237482125774,first
0.47493541243397863,rough
0.4748759700799274,old
0.4748217026925713,fast
0.4746447253074624,solid
0.4746031810760566,first
0.47450860777161863,back
0.4742025356332348,old
0.47419588286295855,personal
0.47416604830829234,much
0.4740187400700769,back
0.47389410997293135,late
0.473858220225596,first
0.47374591064877836,old
0.4737311875805086,only
0.4734959825302778,much
0.47342522796647457,back
0.4731973733666519,other
0.4729947065543191,fellow
0.4729946839800243,many
0.4728315498315725,other
0.47281439620653,back
0.47273181583684315,more
0.47264001054592975,more
0.4726238447183625,steady
0.47262158611797694,next
0.47247435810063226,first
0.472473451564985,great
0.47244278060154954,strong
0.47242583699550794,other
0.4723697694854972,green
0.4723059374744837,old
0.4722770839907731,back
0.47225257772601775,more
0.47217999145653405,incredible
0.4721717515826302,back
0.4721329982389762,other
0.47205431562019173,late
0.4720485395916386,more
0.47178979246166985,back
0.47172706174070433,able
0.47172539028233,more
0.4716988776087905,huge
0.4716854467640243,strong
0.471517028566159,hard
0.4715083928400371,strong
0.4714660171183289,happy
0.4713738891778396,much
0.47136212913270115,more
0.4713241814782599,back
0.47109990572729105,better
0.47104897680675173,more
0.4710280316930053,other
0.47096260556523606,fellow
0.4708804648321717,american
0.47085450112147276,next
0.4708437468165788,many
0.47084099480876096,former
0.4708081837201551,bad
0.4707061156174899,other
0.4706838450809447,solid
0.4705976517831936,first
0.4704298256724385,happy
0.4703568820679762,strong
0.4702264854759107,back
0.47021347794436946,last
0.4701657170671184,other
0.4700598986773249,other
0.4700343141247002,able
0.4699904305320266,back
0.469957097333329,many
0.46990355774364856,big
0.46977767388800923,other
0.46951593066309266,other
0.469461225113036,able
