word,cluster
top,3
top,3
top,5
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,0
top,3
top,3
top,3
top,3
top,3
top,5
top,0
top,3
top,5
top,8
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,5
top,5
top,0
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,5
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,0
top,0
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,3
top,0
top,0
top,3
top,3
top,3
top,3
top,0
top,3
top,3
top,0
top,3
top,0
top,0
top,3
top,3
top,1
top,3
top,3
top,3
top,5
top,3
top,0
top,3
top,1
top,0
top,0
top,1
top,3
top,3
top,0
top,3
top,5
top,0
top,5
top,5
top,5
top,5
top,5
top,5
top,5
top,5
top,5
top,5
top,0
top,3
top,8
top,3
top,5
top,3
top,5
top,5
top,0
top,5
top,4
