cosine similarity,target word
0.4679959391721585,back
0.467959984979437,great
0.46758290713610295,finish
0.46746360573777335,strong
0.4672964696320861,professional
0.46671559514724764,super
0.46659340090677254,back
0.4663115556610418,female
0.4661025725604078,other
0.4660157953973684,more
0.46581765540189807,other
0.46575562176111374,first
0.46564308431193674,back
0.4653576822324874,back
0.4653249988464789,strong
0.4650733208245169,old
0.4640339891193941,enough
0.46400909184468064,longer
0.4639512617284286,fellow
0.46387643573214354,hard
0.46385990832912366,other
0.46383692228218365,other
0.46378322902191366,rough
0.4636714600403242,finish
0.46361325970640427,first
0.46351505556766237,female
0.46343864573951477,american
0.4631304252207903,back
0.46307696919512265,female
0.46282908476436296,fast
0.4627095062942224,other
0.46227590954893155,finish
0.46224892080389157,other
0.4621969608805988,other
0.4620394163749704,most
0.461973478647472,eventual
0.4616855098388986,back
0.4616338332592254,big
0.46149853793423656,top
0.46140235703733934,strong
0.4610287376330389,impressive
0.46091612479020905,long
0.460766094438526,back
0.46058673227790037,right
0.4601972158530808,other
0.4601758929135371,finish
0.4601349753040784,strong
0.45958398913388143,female
0.45945325032142526,easy
0.4594464766306867,more
0.4589193865029761,strong
0.4586707663018427,super
0.45848956646334926,back
0.45844069511555463,competitive
0.45840303730103826,other
0.45830891677254504,fast
0.4582430842814065,other
0.45740161537498863,american
0.4573966028205483,other
0.4570744832838101,female
0.45704062739348505,old
0.45695692010500594,right
0.4568599781353704,american
0.45677758599207635,other
0.45617167449498197,old
0.45615000859715515,golden
0.4559835538829063,final
0.4557335920584262,able
0.45563971760295796,female
0.45559202683579436,good
0.4555608435206869,full
0.455486960729293,young
0.45542815028538153,tough
0.4552704039400808,other
0.45518568653952285,female
0.4550985563497158,incredible
0.454900008285422,fresh
0.4547165540836706,female
0.45470454357479007,steady
0.4546063871063294,finish
0.45454101419409065,american
0.45423904414839866,back
0.4540439636392378,favorite
0.4540164094687568,incredible
0.45385734047109394,new
0.4534803309878364,same
0.4530551413691564,back
0.45289232197728924,good
0.4527821110264746,early
0.45255951372138825,most
0.45242364368409294,most
0.45240575736191424,few
0.4523151476667002,back
0.45221512925578305,many
0.4521909167689407,back
0.45168204491929026,other
0.45163274877854503,finish
0.45161538323457223,other
0.45155795910594587,second
0.4515441829194072,strong
0.4514771487969741,next
0.45135093548031746,other
0.45039507229974896,comfortable
0.4503365379235827,back
0.4503308694497128,many
0.450301718679141,top
0.4502617358797733,bad
0.45024963011734564,big
0.4502462102456155,strong
0.450215535753944,most
0.4502036704228106,other
0.45005257898219747,classic
0.4500411017547392,back
0.44976065730836795,comfortable
0.44960790150027374,fast
0.44955900104238233,more
0.4495335163007239,back
0.4492613369471386,back
0.449231923655623,former
0.44910736874204044,incredible
0.4490806855199917,finish
0.4490104037874082,comfortable
0.4489597379645895,back
0.44864313475331064,strong
0.4485116917258094,former
0.44849837207446375,more
0.4484878911342085,fast
